skill	source	installed_at_utc
acquire-codebase-knowledge	github/awesome-copilot	2026-08-05T21:44:32Z
quality-playbook	github/awesome-copilot	2026-08-05T21:44:32Z
threat-model-analyst	github/awesome-copilot	2026-08-05T21:44:32Z
refactor	github/awesome-copilot	2026-08-05T21:44:32Z
code-review	getsentry/skills	2026-08-05T21:44:32Z
code-simplifier	getsentry/skills	2026-08-05T21:44:32Z
find-bugs	getsentry/skills	2026-08-05T21:44:32Z
security-threat-model	openai/skills	2026-08-05T21:44:32Z
supabase	supabase/agent-skills	2026-08-05T21:44:32Z
supabase-postgres-best-practices	supabase/agent-skills	2026-08-05T21:44:32Z
vercel-react-best-practices	vercel-labs/agent-skills	2026-08-05T21:44:32Z
web-design-guidelines	vercel-labs/agent-skills	2026-08-05T21:44:32Z
api-and-interface-design	addyosmani/agent-skills	2026-08-05T21:44:32Z
source-driven-development	addyosmani/agent-skills	2026-08-05T21:44:32Z
security-and-hardening	addyosmani/agent-skills	2026-08-05T21:44:32Z
test-driven-development	addyosmani/agent-skills	2026-08-05T21:44:32Z
code-review-and-quality	addyosmani/agent-skills	2026-08-05T21:44:32Z
debugging-and-error-recovery	addyosmani/agent-skills	2026-08-05T21:44:32Z
incremental-implementation	addyosmani/agent-skills	2026-08-05T21:44:32Z
doubt-driven-development	addyosmani/agent-skills	2026-08-05T21:44:32Z
performance-optimization	addyosmani/agent-skills	2026-08-05T21:44:32Z
ci-cd-and-automation	addyosmani/agent-skills	2026-08-05T21:44:32Z
observability-and-instrumentation	addyosmani/agent-skills	2026-08-05T21:44:32Z
documentation-and-adrs	addyosmani/agent-skills	2026-08-05T21:44:32Z
api-design-principles	wshobson/agents	2026-08-05T21:44:32Z
openapi-spec-generation	wshobson/agents	2026-08-05T21:44:32Z
auth-implementation-patterns	wshobson/agents	2026-08-05T21:44:32Z
error-handling-patterns	wshobson/agents	2026-08-05T21:44:32Z
e2e-testing-patterns	wshobson/agents	2026-08-05T21:44:32Z
secrets-management	wshobson/agents	2026-08-05T21:44:32Z
sast-configuration	wshobson/agents	2026-08-05T21:44:32Z
deployment-pipeline-design	wshobson/agents	2026-08-05T21:44:32Z
nextjs-app-router-patterns	wshobson/agents	2026-08-05T21:44:32Z
nodejs-backend-patterns	wshobson/agents	2026-08-05T21:44:32Z
sql-optimization-patterns	wshobson/agents	2026-08-05T21:44:32Z
